,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density
2983,주식회사 데일리청담,한식,02  69568648,서울특별시 강남구 청담동 89-6 영인빌딩,"[37.5244653, 127.0414525]",87.03,96.77
2984,(주)감성타코 강남역점,경양식,02  565 8830,서울특별시 강남구 역삼동 820-9번지 GLASS TOWER ,"[37.4989021, 127.0276099]",99.62,98.17
2985,한와담 포스코센터점,한식,02  501 7905,서울특별시 강남구 대치동 892번지 포스코센터 ,"[37.5058645, 127.0562396]",84.07,63.12
2986,옛날돈가스,기타,02  546 0691,서울특별시 강남구 논현동 62-3번지 청학아파트 ,"[37.5205692, 127.0328266]",60.89,32.62
2987,우노,기타,02  565 2119,서울특별시 강남구 역삼동 668-12번지 석교빌딩 ,"[37.5029603, 127.0367156]",86.07,74.09
2988,철그릴 무역점,기타,02  21956804,서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"[37.50860960000001, 127.0598731]",97.51,40.77
2989,미식가에프앤비,한식,02  555 6092,서울특별시 강남구 역삼동 739 역삼동빌딩,"[37.49906, 127.036246]",72.49,19.44
2990,연안식당 역삼점,한식,02  562 6092,서울특별시 강남구 역삼동 739번지 역삼동빌딩 ,"[37.49906, 127.036246]",65.07,29.66
2991,코코모이,기타,02  541 6762,서울특별시 강남구 청담동 80-12번지 ,"[37.5263361, 127.0444843]",99.92,18.32
2992,후와후와 가로수길점,기타,02  34447788,서울특별시 강남구 신사동 534-17번지 엘로이벧빌딩 ,"[37.5208, 127.0222497]",78.42,29.97
2993,닭치고디집고,한식,02  542 9288,서울특별시 강남구 논현동 163-17번지 상당빌딩 지상2층 201호,"[37.5080815, 127.02417]",75.84,42.72
2994,silver(실버),경양식,02  547 2676,서울특별시 강남구 논현동 96-3번지 천지일가 ,"[37.5214561, 127.0369466]",83.36,78.48
2995,참한(CHAMHAN),한식,02  518 7782,서울특별시 강남구 신사동 644-3번지 ,"[37.5263969, 127.0348886]",70.23,22.83
2997,까페텀블러,기타,02  518 0394,서울특별시 강남구 삼성동 58-2 청담역 푸르지오시티,"[37.51961540000001, 127.0566076]",75.57,38.22
2998,송추가마골 강남지점,한식,02  554 9290,서울특별시 강남구 역삼동 735-3번지 포스코P&S타워,"[37.49944610000001, 127.0338324]",65.88,99.43
2999,에이치에스 푸드코리아,한식,02  515 8892,서울특별시 강남구 대치동 896-25번지 금아빌딩 ,"[37.5037301, 127.0525593]",88.39,91.75
3000,명진푸드,한식,02  63386678,서울특별시 강남구 논현동 170번지 스페이스모노빌딩 ,"[37.5082866, 127.027185]",60.35,75.39
3001,이코복스커피,기타,02  540 8455,서울특별시 강남구 신사동 580-5번지 ,"[37.52632699999999, 127.0279079]",54.13,21.55
3002,떡존,한식,02  544 2606,서울특별시 강남구 신사동 552-5번지 ,"[37.5229404, 127.02511]",96.62,62.92
3003,족황상제 압구정로데오점,한식,02  516 1982,서울특별시 강남구 신사동 657-32,"[37.5256657, 127.0382648]",68.45,3.07
3004,앤브런치(N. Vrunch),경양식,02  740 5060,서울특별시 강남구 역삼동 708-35,"[37.5029929, 127.0490887]",80.67,77.12
3005,그랑뉴브(Grand Newv),뷔페식,02  740 5050,서울특별시 강남구 역삼동 708-35,"[37.5029929, 127.0490887]",82.25,99.4
3007,더블유더블유일송일호점,기타,02  521 2920,서울특별시 강남구 삼성동 157-37번지 WeWork빌딩 ,"[37.51584769999999, 127.0422703]",52.8,57.74
3008,토리준(TORIJUN),일식,02  546 4180,서울특별시 강남구 청담동 13번지 ,"[37.5230112, 127.0452519]",66.18,86.51
3009,번패티번 현대백화점 무역센터점,기타,02  542 9852,서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"[37.50860960000001, 127.0598731]",72.84,39.82
3010,양칭,일식,02  555 0124,서울특별시 강남구 대치동 957-20번지 ,"[37.5053879, 127.0587694]",70.98,9.63
3011,도산돼지,한식,02  540 3351,서울특별시 강남구 신사동 648 석진빌딩,"[37.5245246, 127.0363653]",67.59,71.16
3012,남다른감자탕 역삼본점,한식,02  555 2110,서울특별시 강남구 역삼동 788-15번지 신우빌딩 ,"[37.5083485, 127.0336602]",98.66,13.32
3013,더블유더블유일송이호점,기타,02  5212920,서울특별시 강남구 삼성동 157-37번지 WeWork빌딩 ,"[37.51584769999999, 127.0422703]",95.54,90.54
3014,마부육전,한식,02  557 5567,서울특별시 강남구 대치동 943-30번지 ,"[37.5062584, 127.0595615]",74.72,8.99
3015,데블스도어 코엑스점,경양식,02  60022001,서울특별시 강남구 삼성동 159번지 코엑스 ,"[37.5130556, 127.0586111]",85.85,21.08
3016,한빛살 한우,한식,02  32886678,서울특별시 강남구 삼성동 153-6 화인빌딩,"[37.5229557, 127.0208697]",87.63,33.63
3017,데블스도어 연회 코엑스점,기타,02  60022002,서울특별시 강남구 삼성동 159번지 코엑스 ,"[37.5130556, 127.0586111]",85.51,8.23
3018,운좋은 횟집,일식,02  20572077,서울특별시 강남구 삼성동 143-30번지 케이엘타워 ,"[37.5067611, 127.0539085]",50.16,69.2
3019,홍대개미 파르나스몰점,한식,02  34533892,서울특별시 강남구 삼성동 159-8번지 파르나스타워 ,"[37.5095059, 127.0612306]",89.68,82.37
3020,목포식당,한식,7086142666,서울특별시 강남구 역삼동 658-1,"[37.5068642, 127.035692]",53.06,4.82
3021,환공어묵베이커리 파르나스몰점,한식,02  34533445,서울특별시 강남구 삼성동 159-8번지 파르나스타워 ,"[37.5095059, 127.0612306]",72.18,7.98
3022,브릿지,경양식,02  511 1332,서울특별시 강남구 청담동 5-12번지 JS빌딩 ,"[37.5235413, 127.0457141]",96.89,83.71
3023,어게인리프레쉬 가로수길직영점,기타,02  511 1374,서울특별시 강남구 신사동 542-3번지 ,"[37.5200103, 127.0236017]",88.4,7.51
3024,메밀마을 보쌈집 차림,한식,02  542 9114,서울특별시 강남구 삼성동 168 삼성빌딩,"[37.5099322, 127.0657403]",63.51,61
